EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OWENA BUS- STOP , OPP. LITTLE BY LITTLE / OWENA BANK AREA",011,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,A.U.D. PRY. SCH. BK. I / OLD BARRACKS AREA,012,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,A.U.D. PRY. SCH. BK. II / IBUKUN OLU AREA,013,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OKE ONIYO MARKET / OKE ONIYO, OKE ALAFIA AREA",014,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"ST. PAULS C.A.C. OPP. TOTAL / ST. PAULS C. A. C., AJILOSUN",015,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,IN FRONT OF PA LAWAL'S HOUSE / OKE AGE ST.,016,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,IN FRONT OF ALAJA ADULOJU'S HOUSE / IBITOYE ADULOJU COMP.,017,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,IN FRONT OF OLUROPORA'S HOUSE / OMOLAYO AREA,018,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE INFRONT OF TECH. SCH. WATER WORKS AREA.,019,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT ANFAANI/JULIUS ADENIYI STREET BEHIND MOBILE FILL. STATION, AJILOSUN",020,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT OMOJU AREA/ OPP. OLD SURE FUNDATION, MOFERERE",021,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT IYA ROBOTOS AREA, AGRIC OLOPE.",022,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,PREMISES OF MOFERERE COMMUNITY PRY. SCH. AGRIC OLOPE I,023,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,PREMISES OF MOFERERE COMMUNITY PRY. SCH. AGRIC OLOPE II,024,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE INFRONT OF BEDC, AJILOSUN",025,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT OPP. STRIVE FILLING STATION/MUGBAGBA,026,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT EGBEDI I, OSHO AREA, MUGBAGBA AREA",027,,,,,,,,,,,,,,,
