EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
IDO / OSI,IFAKI II,04,"IDI/OGUN/OPEN SPACE NEAR OJO J. K. HOUSE , IDI OGUN",003,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,"METHODIST PRIMARY SCHOOL , ILOGBE",004,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,"OKE EJELU , OKE EJELU",005,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,"TOWN HALL , OGBON IRO",006,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,"VERTINARY CENTRE , ILAO",007,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,"SAW MILL, AREMO OSHODI",008,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,IGBO OLOKO/NEAR CHIEF DADA'S HOUSE,009,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,APIPEREKUN NEAR HEALTH CENTRE,010,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,OPEN SPACE NEAR OLOKUN MARKET,011,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,COMMUNITY HALL ALONG ESUREROAD,012,,,,,,,,,,,,,,,
IDO / OSI,IFAKI II,04,OPEN SPACE AT OLD IFAKI MOTORPARK,013,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,ILOGBO,05,"OGUNIRE / IDOFIN ABASA , NEAR CHIEF LEWA'S HOUSE",001,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,ILE ELEPA / OLUA NEAR AJAYI'S HOUSE,002,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,OGBEGUN ALAO NEAR MR. OGUN'S HOUSE,003,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,ODODE ILE EYEBUNTUN I,004,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,ODODE ILE EYEBUNTUN II,005,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"ENUNRIN , NEAR ENUNRIN'S HOUSE",006,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"OKERE / ESIMO / OSOLO , ST. MARY'S CATHOLIC SCHOOL",007,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"ETI OMI AREA , ST JOHN'S ANGLICAN SCHOOL",008,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"OKE OJA , NEAR , ILE ABALUARE",009,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"ILE OLOFIN , OLD ANGLICAN CHURCH",010,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"IMUTA I , II, AND III , NEAR BABATOPE'S HOUSE",011,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"EYIGBO , C. A. C. PRIMARY SCHOOL",012,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"AAFIN AREA , TOWN HALL",013,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"USI / IDO ROAD, NEAR NEW BANK",014,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"SURULERE , A. U. D. , PRIMARY SACHOOL",015,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"MARKET ROAD , AREA MARKET STALL",016,,,,,,,,,,,,,,,
IDO / OSI,ILOGBO,05,"TEMIDIRE , BETTER LIFE",017,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,USI,06,"N. D. C. AREA / AYEPE , N. D. C. COMPOUND",001,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"IWORO I , C. A. C. PRIMARY SCHOOL I",002,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"IWORO I , C. A. C. PRIMARY SCHOOL II",003,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"IWORO II , IWORO STREET",004,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"OKE ODI I, NEAR ANGLICAN CHURCH I",005,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"OKE ODI I, NEAR ANGLICAN CHURCH II",006,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"OKE ODI II , UPPER GATE",007,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"POST AREA OFFICE , ST ANDREW'S SCHOOL",008,,,,,,,,,,,,,,,
IDO / OSI,USI,06,USI HIGH SCHOOL / USI HIGH SCHOOL,009,,,,,,,,,,,,,,,
IDO / OSI,USI,06,OKE JEBBA NEAR NOBLE'S HOUSE,010,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"AAFIN / AWORO , TOWN HALL",011,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"ONA OMI OSUN I AND II , NEAR ADEIDE'S HOUSE",012,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"ISIMO NEAR , ILORI'S HOUSE",013,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"IDIESI AREA , NEAR IDI ESI",014,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"IDOFIN NEAR , FALODUN'S HOUSE",015,,,,,,,,,,,,,,,
IDO / OSI,USI,06,"UNITY AREA , UNITY SECONDARY SCHOOL",016,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,OSI,07,"TOWN HALL , AAFIN I AND II",001,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"ST PAUL'S PRIMARY SCHOOL , AAFIN III",002,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"NEAR ELEJU'S HOUSE , TEMIDAYO",003,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"NEAR EGBEDI'S HOUSE, INISA I",004,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"NEAR ODESANMII'S HOUSE, INISA II",005,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"IMODAN MARKET , IMODAN",006,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"NEAR EMILA'S HOUSE , IDOFIN",007,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"METHODIST PRIMARY SCHOOL , IWARO",008,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"R. C. M. PRIMARY SCHOOL, EYINLATA / EJEMUSU",009,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"NEAR OLUARE'S HOUSE , IJOPA",010,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,NEAR CHIEF OGUNTOYINBO'S HOUSE TEMIDIRE,011,,,,,,,,,,,,,,,
IDO / OSI,OSI,07,"NEAR CHIEF ALAAYE'S HOUSE , ALAAYE'S COMPOUND",012,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,ORIN / ORA,08,ILETIN I AT ILETIN,001,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,ILETIN II NEAR ILETIN,002,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"IFAKI ROAD , METHODIST PRIMARY SCHOOL I",003,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"IFAKI ROAD , METHODIST PRIMARY SCHOOL II",004,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"AWOLOWO ROAD , MARKET STALL",005,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"FARM SETTLEMENT, FARM SETTLEMENT",006,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"OGBON OJA , TOWN HALL",007,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"PALACE AREA , ST JOHN'S CATHOLIC SCHOOL",008,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,IWOYE I / IWOYE HALL,009,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,IWOYE II / IWOYE STREET,010,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,IDO ROAD NEAR MATERNITY CENTRE,011,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,IDI AGBAGBA NEAR IDI AGBAGBGA,012,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"IDEMO, OLD METHODIST MISSION",013,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,OKE ORA I AAFIN OJU OJA METHODIST PRY SCHOOL,014,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,OKE ORA II OPEN SPACE NEAR ASALU'S HOUSE,015,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"ODO ORA I , NEAR BABA EGBE'S HOUSE",016,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"ODO ORA II , OPEN SPACE I",017,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,"ODO ORA II , OPEN SPACE II",018,,,,,,,,,,,,,,,
IDO / OSI,ORIN / ORA,08,ILOGUN AT ILOGUN,019,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"TOWN HALL , TEMIDIRE / IFAKI ROAD",001,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"MARKET STALL , EJIMOKO",002,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"MATERNITY CENTRE , OKE IFISIN / ILAMOD",003,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,INIKA COMPOUND/COMMUNITY PRIMARY SCHOOL,004,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"TOWN HALL , IDOFIN / AAFIN",005,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"OKE ODE,NEAR OGUNLEYE'S HOUSE",006,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"NEAR CHIEF ALUKO'S HOUSE, IKEFON",007,,,,,,,,,,,,,,,
IDO / OSI,IGBOLE / IFISIN /AAYE,09,"AT ILAYAN QUARTERS, ILAYAN",008,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,AYETORO I,10,NEAR ALHAJI'S ODO IJU'S HOUSE / ILE OBANLA,001,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"NEAR CHIEF OTUN'S HOUSE , ILE ERUKU",002,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"S. D. A. PRIMARY SCHOOL , ILE ODOGUN",003,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"OKE URO TOWN HALL , ILE AWU",004,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"ST CHARLE'S PRIMARY SCHOOL , OKE URO",005,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"NEAR CHIEFAJANI'S HOUSE , OPONNU 1 AND 11",006,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"NEAR OGUNSANMI'S HOUSE , ISAO I AND II",007,,,,,,,,,,,,,,,
IDO / OSI,AYETORO I,10,"NEAR OSUTA'S HOUSE , ILE OSUTA",008,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IDO / OSI,AYETORO II,11,"NEAR ECELO SQUARE, AAFIN",001,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"ODOSI TOWN HALL , ODOSI",002,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"NEAR ORISA OKO , OKE OKIN",003,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"ST JOSEPH'S PRIMARY SCHOOL , ILEAAYE",004,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"NEAR POPOOLA'S HOUSE , ILE AORO ERUTU",005,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"NEAR ABA ATIBA'S HOUSE , ILE ABA ATIBA",006,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"NEAR OGBOYA'S HOUSE , ILE OLOGBOYA",007,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,S. D. A. PRIMARY SCHOOL SAJUKU I,008,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"APOSTOLIC SCHOOL , SAJUKU II",009,,,,,,,,,,,,,,,
IDO / OSI,AYETORO II,11,"MATERNITY CENTRE , ILE ODOFIN I AND II",010,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
,LG SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'A',01,AKANRO - CHRIST CHURCH SCHOOL COMPOUND,001,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,POROGUN / ODOORO - ST. GEORGE'S PRY. SCHOOL,002,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,MATERNITY - MATERNITY,003,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,ODO - OSUN - INFRONT OF WATER CORPORATION,004,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,ELEMIKAN - ELEMIKAN'S COMPOUND,005,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,ORISAGBEMI / CHIEF ORISAGBEMI'S COMPOUND,006,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,IGBOOLOKO / ODO - ESE - NEPA OFFICE,007,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,OYEBOLA - INFRONT OF OYEBOLA'S HOUSE,008,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,ODODARA - NEAR ELEMIKAN'S AREA,009,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'A',01,OPEN SPACE AT AKINTUNDE BLOCK,010,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'B',02,ASASA - ST. MATHEW PRIMARY SCHOOL COMPOUND,001,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,ASASA NEAR ST MATHEW PRIMARY SCHOOL COMPOUND,002,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,OJO ANIMASAHUN - INFRONT OF AKINBU OLOBO,003,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,ELEWERE - OMI FUNFUN,004,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,APASO - NEAR FOLORUNSO POOL'S,005,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,AMOS OBASA - C.A.C CHURCH,006,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,"BABADE ARIYO'S COMPOUND, OMO OBOKUN",007,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,ODOYE - BESIDE OLODOYE'S HOUSE,008,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,ELEDAHUN - INFRONT OF OLOYE'S HOUSE,009,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,"OPEN SPACE AT GENERAL HOSPITAL, IJERO",010,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'B',02,OPEN SPACE AT TEMITOPES HOUSE,011,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'C',03,EMINIWA COMPOUND - ST. PETERS PRY. SCH. COMPOUND,001,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'C',03,OLAREWAJU - INFRONT OF OLAREWAJU'S COMPOUND,002,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'C',03,SALORO - INFRONT OF SALORO'S HOUSE,003,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'C',03,OTOKI'S HOUSE - C. A. C. PRY SCHOOL,004,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'C',03,OLAJIDE - INFRONT OF OLAJIDE'S HOUSE,005,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'C',03,FATOGBE - IN FRONT OF FATOGBE'S HOUSE,006,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'C',03,OGODO'S COMPOUND - ORI EGURU,007,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IJERO WARD 'D',04,FAMILONI - IN FRONT OF AKANNI'S HOUSE,001,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,ALOWOLODU / OJO - THE APOSTOLIC P. S. COMPOUND,002,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,AROKODARE - IN FRONT OF AROKODARE'S HOUSE,003,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,IJUNRIN ROAD - D. M. G. S. COMPOUND,004,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,STADIUM ROAD - HEALTH CENTRE,005,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,ABULE TITUN - ABULE TITUN SAADE,006,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,SALORO FARM - COMMUNITY PRY. SCHOOL COMPOUND,007,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,OPEN SPACE AT ARIMOYES HOUSE,008,,,,,,,,,,,,,,,
IJERO,IJERO WARD 'D',04,OPEN SPACE AT WOLASE OKOTO FARM,009,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IPOTI WARD 'A',05,ESAYA / OLOMOJOBI / IN FRONT OF S. D. A. SCHOOL SURULERE,001,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,AROWOJASIN OGBELUKU ILE AREMO - OUR SAVIOUR P. S.,002,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,IPOTI HIGH SCHOOL - IPOTI HIGH SCHOOL,003,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,ODOFIN OWA / AWOROKINMI - ODOFIN NEAR ADEWA HOUSE,004,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,ISOKUN / EYIGBO - SURAJUDEEN PRIMARY SCHOOL,005,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,OKEYA / AAFIN - C. A. C. PRIMARY SCHOOL,006,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,AAYE - NEAR CHIEF AAYE'S HOUSE,007,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'A',05,OGIDI - THE APOSTOLIC PRIMARY SCHOOL,008,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IPOTI WARD 'B',06,OSERE - BAPTIST PRIMARY SCHOOL,001,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,AGIRIOJO COMPOUND - BAPTIST PRIMARY SCHOOL,002,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,SAJIYAN - NEAR OMODAN'S HOUSE,003,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,EKUNPA - NEAR OBAPETO'S HOUSE,004,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,OLOPE / EMILA / AJISUN - IN FRONT OF EMILA'S HOUSE,005,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,OLOPE II - IN FRONT OF NEW COURT HALL,006,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,OLOGUN / ELEBEYIN - OLOGUN ELEBEYIN COMPOUND,007,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,ARAROMI / OMOLEWA - S. D. A. PRIMARY SCHOOL OMOLEWA,008,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,EISIKIN HAMLET OBANLA - BAPTIST PRIMARY SCHOOL EISIKIN,009,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,OYIKAKA / OJA OKO - ST. PETERS PRIMARY SCHOOL OYIKAKA,010,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,OKO - AGBA / OYI ADEFILA - AGBA FARM,011,,,,,,,,,,,,,,,
IJERO,IPOTI WARD 'B',06,AGBEMO - IN FRONT OF PA FELE'S HOUSE,012,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,ODO OWA,07,AAFIN - TOWN HALL ODO - OWA,001,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OKE IJANA - ST. PAUL'S PRIMARY SCHOOL A. COMPOUND,002,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OKE - OSE - INFRONT OF AGBELE'S,003,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,ILE OLOGUN - ST. PAULS PRIMARY SCHOOL B. COMPOUND,004,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,ODOFIN IDOGUN - IN FRONT OF ODOFIN IDOGUN'S HOUSE,005,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,SURULERE - OFALE AREA,006,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OKE - IJANA II - TOWN HALL,007,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,ODOFIN IDOGUN II - IN FRONT OF ODOFIN IDOGUN'S HOUSE,008,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OKE - OSE II - EJEMU AGBELE HOUSE,009,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OKE IGI - OKE IGI PREMISES,010,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OFALE - COMMUNITY PRIMARY SCHOOL - OFALE,011,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,ALASE FARM - ALASE FARM,012,,,,,,,,,,,,,,,
IJERO,ODO OWA,07,OKE - IGI - OKE IGI FARM,013,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,ILORO WARD 'A',08,ILE OJA OGUN - AFRICAN PRIMARY SCHOOL,001,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,IDI OGUN - AFRICAN PRIMARY SCHOOL COMPOUND,002,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,ILE AAYE - IN FRONT OF AAYE'S HOUSE,003,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,AWORO - IN FRONT OF PELEBE'S HOUSE,004,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,FAJUYIGBE / OKUNRINOPO - IN FRONT OF FAJUYIGBE HOUSE,005,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,OKE BOLA - ILORO COMMUNITY HIGH SCHOOL,006,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,OBALOGBO - IN FRONT OF OBALOGBO'S HOUSE,007,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,IJEMU / SAJIYAN - IN FRONT OF CHIEF EJEMU'S HOUSE,008,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,OKO EJEMU -EJEMU QUARTERS,009,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,ERUKU - IJEMU TOWN HALL,010,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'A',08,OLOPAYE - IN FRONT OF ALAYE'S HOUSE,011,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,ILORO WARD 'B',09,EYELAYE - IN FRONT OF TOWN HALL,001,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,OGUNDELE'S COMPOUND - IN FRONT OF OGUNDELE'S HOUSE,002,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,ILE AWOROPAKE OKIN - IN FRONT OF LUCAS DADA'S HOUSE,003,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,ST. MARY'S PRIMARY SCHOOL AREA - ST. MARY PRIMARY SCHOOL I,004,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,ST. MARY'S PRIMARY SCHOOL AREA - ST. MARY PRIMARY SCHOOL II,005,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,AAFIN - POST OFFICE,006,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,OKO ERERIN - ERERIN PREMISES,007,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,BEST WAY - UNITED PRIMARY SCHOOL COMPOUND,008,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,SAJIKU I - IN FRONT HOUSE,009,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,AAFIN - TOWN HALL IJUNRIN,010,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,OKO ORE - IN FRONT OF SUNDAY ADEBAYO'S HOUSE,011,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,TEMIDIRE - CATHOLIC PRIMARY SCHOOL COMPOUND I,012,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,TEMIDIRE - CATHOLIC PRIMARY SCHOOL COMPOUND II,013,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,ASAO - IN FRONT OF ASAO'S COMPOUND,014,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,SAJUKU - IN FRONT OF EFI'S HOUSE,015,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,IDI IGI OSE - NEAR IDI IGI OSE,016,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,AWOR EFI - IN FRONT OF EFI'S HOUSE,017,,,,,,,,,,,,,,,
IJERO,ILORO WARD 'B',09,ABEBI - ABEBI PREMISES,018,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IJERO,IKORO WARD 'A',10,OKEMOGBO I AND II COLUMBA'S R. C. M.,001,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,TEMIDIRE - ST. LUKE'S PRIMARY S CHOOL,002,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,ATIBA - NEAR OWENA BANK,003,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,IWARO I AND II - ST. MICHEAL PRIMARY SCHOOL,004,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,IGBO EKU - IGBO EKU,005,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,OGBON TITUN - A. U. D. PRIMARY SCHOOL,006,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,ILORO AREA - THE APOSTOLIC PRIMARY SCHOOL,007,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,AAFIN - PALACE AREA,008,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,ABA PETESI - BAPTIST ARAPATE,009,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,OGBONI - OGBONI CAMP,010,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,ISARE - ABA JOACHIM,011,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,OLUDE / GBADAMOSI - OLODE CAMP,012,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,SOSO FARM - BAPTIST CHURCH,013,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,SAKORO / IKOSI - BOLORUNDO COMMUNITY PRIMARY SCHOOL,014,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,KAJOLA FARM - KAJOLA,015,,,,,,,,,,,,,,,
IJERO,IKORO WARD 'A',10,OMOLEYE - IN FRONT OF SULE'S HOUSE,016,,,,,,,,,,,,,,,
