EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,APC ,PDP ,ADC ,LP ,ACCORD,SDP,Total PU,PU Entered
Result by Ward,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD NAME,WARD CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
IKOLE,ITAPAJI/IYEMORO,12,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,EWU,01,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,EDA ONIYO,02,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,OBADA,03,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,IYE I,04,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,IYE II,05,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,IYE III,06,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,IJESAMODU,07,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,ILUDUN I,08,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,ILUDUN II,09,0,0,0,0,0,0,,,,,,,,,
ILEJEMEJE,IPERE,10,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,AFAO,01,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,ARE,02,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ODO ISE I,01,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ODO ISE II,02,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ODO ISE III,03,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ERINWA I,04,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ERINWA II,05,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ORAYE I,06,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ORAYE II,07,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ORAYE III,08,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ORUN I,09,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ORUN II,10,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
MOBA ,OTUN I,01,0,0,0,0,0,0,,,,,,,,,
MOBA ,OTUN II,02,0,0,0,0,0,0,,,,,,,,,
MOBA ,OTUN III,03,0,0,0,0,0,0,,,,,,,,,
MOBA ,IGORO I,04,0,0,0,0,0,0,,,,,,,,,
MOBA ,IGORO II,05,0,0,0,0,0,0,,,,,,,,,
MOBA ,ERINMOPE I,06,0,0,0,0,0,0,,,,,,,,,
MOBA ,ERINMOPE II,07,0,0,0,0,0,0,,,,,,,,,
MOBA ,IKUN I,08,0,0,0,0,0,0,,,,,,,,,
MOBA ,IKUN II,09,0,0,0,0,0,0,,,,,,,,,
MOBA ,OSUN,10,0,0,0,0,0,0,,,,,,,,,
MOBA ,OSAN,11,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
OYE,ITAPA/OSIN,01,0,0,0,0,0,0,,,,,,,,,
OYE,OYE I,02,0,0,0,0,0,0,,,,,,,,,
OYE,OYE II,03,0,0,0,0,0,0,,,,,,,,,
OYE,AYEGBAJU ,04,0,0,0,0,0,0,,,,,,,,,
OYE,ILUPEJU I,05,0,0,0,0,0,0,,,,,,,,,
OYE,ILUPEJU II,06,0,0,0,0,0,0,,,,,,,,,
OYE,IRE I,07,0,0,0,0,0,0,,,,,,,,,
OYE,IRE II,08,0,0,0,0,0,0,,,,,,,,,
OYE,AYEDE NORTH,09,0,0,0,0,0,0,,,,,,,,,
OYE,AYEDE SOUTH. ITAJI,10,0,0,0,0,0,0,,,,,,,,,
OYE,ISAN / ILAFON/ILEMESO,11,0,0,0,0,0,0,,,,,,,,,
OYE,OMU OKE /OMU ODO/IJELU,12,0,0,0,0,0,0,,,,,,,,,
TOTAL,,,0,0,0,0,0,0,,,,,,,,,
GRAND TOTAL,,,0,0,0,0,0,0,,,,,,,,,
